co_benefit,metric,value,uncertainty,unit,geographic_scope,year,data_source,data_quality,norway_specific,notes
Biodiversity — NI indicator,Kveite,0.8576,"q025=0.3181, q975=1.0",scaled index (0–1),National,2024.0,NINA / Naturindeks 2025,high,True,coastal_ecosystem
Biodiversity — NI indicator,Laks - kyst og elver,0.4748,"q025=0.4203, q975=0.5368",scaled index (0–1),National,2024.0,NINA / Naturindeks 2025,high,True,coastal_ecosystem
Biodiversity — NI indicator,Lange,0.9917,"q025=0.984, q975=0.9991",scaled index (0–1),National,2024.0,NINA / Naturindeks 2025,high,True,coastal_ecosystem
Biodiversity — NI indicator,Lomvi,0.5413,"q025=0.2239, q975=1.0",scaled index (0–1),National,2024.0,NINA / Naturindeks 2025,high,True,coastal_ecosystem
Biodiversity — NI indicator,Lunde,0.2906,"q025=0.2042, q975=0.3802",scaled index (0–1),National,2024.0,NINA / Naturindeks 2025,high,True,coastal_ecosystem
Biodiversity — NI indicator,Makrell,0.9436,"q025=0.6665, q975=1.0",scaled index (0–1),National,2024.0,NINA / Naturindeks 2025,high,True,coastal_ecosystem
Biodiversity — NI indicator,Makrellterne,0.3222,"q025=0.2395, q975=0.4105",scaled index (0–1),National,2024.0,NINA / Naturindeks 2025,high,True,coastal_ecosystem
Biodiversity — NI indicator,Oter kystbestand,0.948,"q025=0.9468, q975=0.9492",scaled index (0–1),National,2024.0,NINA / Naturindeks 2025,high,True,coastal_ecosystem
Biodiversity — NI indicator,Planteplankton (Chl a),0.8171,"q025=0.8136, q975=0.8214",scaled index (0–1),National,2024.0,NINA / Naturindeks 2025,high,True,blue_carbon_relevant
Biodiversity — NI indicator,Rødnebbterne,0.4335,"q025=0.2317, q975=0.5298",scaled index (0–1),National,2024.0,NINA / Naturindeks 2025,high,True,coastal_ecosystem
Biodiversity — NI indicator,Sei,0.9446,"q025=0.9169, q975=0.9719",scaled index (0–1),National,2024.0,NINA / Naturindeks 2025,high,True,coastal_ecosystem
Biodiversity — NI indicator,Siland,0.7827,"q025=0.3708, q975=1.0",scaled index (0–1),National,2024.0,NINA / Naturindeks 2025,high,True,coastal_ecosystem
Biodiversity — NI indicator,Sildemåke,0.3215,"q025=0.2415, q975=0.3938",scaled index (0–1),National,2024.0,NINA / Naturindeks 2025,high,True,coastal_ecosystem
Biodiversity — NI indicator,Storjo,1.0,"q025=1.0, q975=1.0",scaled index (0–1),National,2024.0,NINA / Naturindeks 2025,high,True,coastal_ecosystem
Biodiversity — NI indicator,Storskarv ssp carbo,0.7927,"q025=0.6837, q975=0.8794",scaled index (0–1),National,2024.0,NINA / Naturindeks 2025,high,True,coastal_ecosystem
Biodiversity — NI indicator,Svartand,0.7936,"q025=0.6021, q975=0.9697",scaled index (0–1),National,2024.0,NINA / Naturindeks 2025,high,True,coastal_ecosystem
Biodiversity — NI indicator,Svartbak,0.6747,"q025=0.38, q975=0.7655",scaled index (0–1),National,2024.0,NINA / Naturindeks 2025,high,True,coastal_ecosystem
Biodiversity — NI indicator,Svartkutling,1.0,"q025=0.9177, q975=1.0",scaled index (0–1),National,2024.0,NINA / Naturindeks 2025,high,True,coastal_ecosystem
Biodiversity — NI indicator,Toppskarv,0.262,"q025=0.1775, q975=0.7163",scaled index (0–1),National,2024.0,NINA / Naturindeks 2025,high,True,coastal_ecosystem
Biodiversity — NI indicator,Ål,0.1879,"q025=0.0515, q975=0.3384",scaled index (0–1),National,2024.0,NINA / Naturindeks 2025,high,True,coastal_ecosystem
Biodiversity — NI indicator,Ærfugl,0.5802,"q025=0.5109, q975=0.651",scaled index (0–1),National,2024.0,NINA / Naturindeks 2025,high,True,coastal_ecosystem
Biodiversity — NI indicator,Øyepål,0.2547,"q025=0.1209, q975=0.38",scaled index (0–1),National,2024.0,NINA / Naturindeks 2025,high,True,coastal_ecosystem
