habitat_id,ecosystem,habitat_type,naturbase_id,habitat_name,value_code,value_label,municipality,canonical_region,habitat_area_m2,centroid_lon,centroid_lat,protected_area_m2,mpa_area_m2,nearest_protected_distance_m,nearest_mpa_distance_m,nearest_dredging_distance_m,nearest_akvakultur_distance_m,nearest_platform_distance_m,nearest_windfarm_distance_m,dredging_within_1km_n,dredging_within_5km_n,dredging_within_10km_n,akvakultur_within_1km_n,akvakultur_within_5km_n,akvakultur_within_10km_n,platforms_within_1km_n,platforms_within_5km_n,platforms_within_10km_n,windfarms_within_1km_n,windfarms_within_5km_n,windfarms_within_10km_n,study_sites_within_1km_n,study_sites_within_5km_n,study_sites_within_10km_n,percent_protected,percent_mpa,colocation_pressure_index,evidence_gap_flag,high_pressure_low_protection_flag
seagrass_eelgrass_10_BM00032915,seagrass,eelgrass,BM00032915,"Stølemyra, Øygarden",B,Viktig,Øygarden (4626),Norwegian Sea,122706.28439978883,4.8654770440052815,60.525877868580615,0.0,0.0,1906.8997468734617,18232.078175059396,30579.399910643784,17070.626507672358,34040.120008543934,382113.38388787006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,True,False
seagrass_eelgrass_11_BM00032916,seagrass,eelgrass,BM00032916,"Pollen, Øygarden",B,Viktig,Øygarden (4626),Norwegian Sea,233055.97872857965,4.808833327505018,60.552671219572915,0.0,0.0,4893.266919424729,18816.63160737437,27064.548836005706,21162.743066711,30260.94070654227,386175.99707100296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,True,False
seagrass_eelgrass_12_BM00032917,seagrass,eelgrass,BM00032917,"Parisvatnet, Øygarden",B,Viktig,Øygarden (4626),Norwegian Sea,41864.38831839465,4.802348868338461,60.6295883103345,0.0,0.0,3809.622145452438,13956.64330015375,18717.578875729225,23911.56148930811,29574.97245111712,390935.5165554139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,True,False
seagrass_eelgrass_13_BM00032918,seagrass,eelgrass,BM00032918,"Taulevågen, Radøy",B,Viktig,Alver (4631),Norwegian Sea,262610.7086682132,5.114260651589889,60.64406739477103,233019.99720182232,233019.99720182232,0.0,0.0,26188.99758255815,6813.468709363769,46749.13450316083,376908.532954632,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,88.73210021919697,88.73210021919697,0,True,False
seagrass_eelgrass_14_BM00033066,seagrass,eelgrass,BM00033066,Snarøykilen,B,Viktig,Bærum (3201),Skagerrak,84219.36275626306,10.618252606043383,59.8819709827946,198.74808608826675,0.0,0.0,69734.287242766,51227.99794075113,10716.70621760966,320324.05721514585,134848.4182709986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2359885893027452,0.0,0,True,False
seagrass_eelgrass_15_BM00041791,seagrass,eelgrass,BM00041791,Storøykilen,B,Viktig,Bærum (3201),Skagerrak,206207.0627184766,10.594139151829115,59.89165265154997,49060.282268314244,0.0,0.0,70775.32335818015,52036.7271831754,11251.427177118225,319150.22125897155,135808.71496443692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.791756509956986,0.0,0,True,False
seagrass_eelgrass_16_BM00041792,seagrass,eelgrass,BM00041792,Hundsundet,C,Lokalt viktig,Bærum (3201),Skagerrak,18198.754301948993,10.615200277364078,59.88524996976627,2293.1526509524747,0.0,0.0,70282.24677249009,51748.69377487025,10760.44106104336,320279.165272398,135389.13846934127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.600602287964785,0.0,0,True,False
seagrass_eelgrass_17_BM00041795,seagrass,eelgrass,BM00041795,Nes,B,Viktig,Asker (3203),Skagerrak,78891.07495703857,10.509403410083957,59.870413652626965,0.0,0.0,1323.884518994651,68935.41238531783,49479.184528490136,16715.118972842898,314209.11516600347,133580.28789365845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,True,False
seagrass_eelgrass_18_BM00041796,seagrass,eelgrass,BM00041796,Hvalstrand øst,C,Lokalt viktig,Asker (3203),Skagerrak,22088.501303388155,10.485638099438102,59.84116955796081,0.0,0.0,510.6508028440867,66006.48083817115,46346.88659988203,19479.755026591767,312485.15845380834,130494.67543477021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,True,False
seagrass_eelgrass_19_BM00041797,seagrass,eelgrass,BM00041797,Hvalstrand vest,C,Lokalt viktig,Asker (3203),Skagerrak,6665.879100625011,10.479624080793704,59.83984015348359,0.0,0.0,929.7655703548193,65901.86382217499,46200.244083606325,19899.550797315766,312225.1402748649,130355.96302954505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,True,False
seagrass_eelgrass_20_BM00041798,seagrass,eelgrass,BM00041798,Tangegrunnen,C,Lokalt viktig,Asker (3203),Skagerrak,10684.50950108304,10.477505553435035,59.83327694351644,0.0,0.0,1239.5820939985808,65226.82204110369,45516.46137570459,20288.627639873448,311902.9279074454,129672.73449171372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,True,False
seagrass_eelgrass_21_BM00041799,seagrass,eelgrass,BM00041799,Middagsbukta,B,Viktig,Asker (3203),Skagerrak,50594.40270366774,10.549912782512164,59.85823696667902,18876.059392071125,0.0,0.0,67309.59128049365,48239.34269829637,15352.199988727272,316425.17858101655,132180.73195045925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.30859222240159,0.0,0,True,False
seagrass_eelgrass_22_BM00041800,seagrass,eelgrass,BM00041800,Sætre,B,Viktig,Asker (3203),Skagerrak,45107.2194540255,10.533939612371851,59.68081256323758,0.0,0.0,785.2020378325795,47819.26418441518,28514.03319157031,9679.777737875806,313245.5224077134,112474.6700305474,0,0,0,0,0,17,0,0,0,0,0,0,0,2,2,0.0,0.0,0,False,False
seagrass_eelgrass_23_BM00041801,seagrass,eelgrass,BM00041801,Bua,C,Lokalt viktig,Asker (3203),Skagerrak,656.9844500131422,10.605673979825548,59.64269774013908,0.0,0.0,1701.024612011774,43360.37505115258,25250.579453404596,3986.0553717425432,316993.02306751744,108435.39892330374,0,0,0,0,17,17,0,0,0,0,0,0,0,2,2,0.0,0.0,17,False,True
seagrass_eelgrass_24_BM00041802,seagrass,eelgrass,BM00041802,Hauge nord,C,Lokalt viktig,Asker (3203),Skagerrak,248.57264999796345,10.616892416762308,59.58499109075972,0.0,0.0,8047.358872862378,36900.51708054378,19386.559011726524,3964.077679923827,317270.8210137571,102024.1524551716,0,0,0,0,17,17,0,0,0,0,0,0,0,0,2,0.0,0.0,17,True,True
seagrass_eelgrass_25_BM00041803,seagrass,eelgrass,BM00041803,Hauge sør,C,Lokalt viktig,Asker (3203),Skagerrak,882.3480000331863,10.618093459264394,59.584295925874144,0.0,0.0,8004.664956967086,36811.31189748088,19332.02172417026,3998.5477416697663,317331.28011075984,101940.39485953472,0,0,0,0,17,17,0,0,0,0,0,0,0,0,2,0.0,0.0,17,True,True
seagrass_eelgrass_26_BM00041804,seagrass,eelgrass,BM00041804,Ekra øst,C,Lokalt viktig,Asker (3203),Skagerrak,1204.1240001305944,10.618551068677569,59.57111262325945,0.0,0.0,6738.5002211565115,35330.268461153246,17999.992750954036,5301.30607940038,317278.76460921136,100462.70272743783,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0.0,0.0,0,True,False
seagrass_eelgrass_27_BM00041805,seagrass,eelgrass,BM00041805,Rødstøa,C,Lokalt viktig,Asker (3203),Skagerrak,255.22580002910314,10.592976198891648,59.55623847269951,0.0,0.0,4614.98617700261,33800.897207013106,15909.024615054761,7425.407956685949,315777.4811345108,98778.99766751454,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0.0,0.0,0,True,False
seagrass_eelgrass_28_BM00041806,seagrass,eelgrass,BM00041806,Smellingen øst,C,Lokalt viktig,Asker (3203),Skagerrak,361.23750004033207,10.55869024492121,59.53906608225844,0.0,0.0,1994.0994194311895,32142.030470388625,13430.338239018709,10039.979101372754,313768.8020856541,96831.55640866254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,True,False
seagrass_eelgrass_29_BM00041807,seagrass,eelgrass,BM00041807,Smellingen,C,Lokalt viktig,Asker (3203),Skagerrak,2236.9262502211964,10.554831802765618,59.53952133797787,0.0,0.0,1962.0266029363274,32230.670468390916,13396.282625402797,10084.374874788733,313513.2835440497,96877.93898238633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,True,False
seagrass_eelgrass_30_BM00041808,seagrass,eelgrass,BM00041808,Striglesand øst,C,Lokalt viktig,Asker (3203),Skagerrak,486.23350006675923,10.550666060169121,59.537592976661585,0.0,0.0,1716.4443387943295,32067.134622019006,13132.267727321432,10427.386686142083,313293.328387775,96671.83868516682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,True,False
seagrass_eelgrass_31_BM00041809,seagrass,eelgrass,BM00041809,Striglesand midt,C,Lokalt viktig,Asker (3203),Skagerrak,514.1055000780001,10.549028515042453,59.537203933360416,0.0,0.0,1657.543681648165,32030.116750807465,13063.003313691945,10505.876665634201,313209.723167013,96621.23501696445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,True,False
seagrass_eelgrass_32_BM00041810,seagrass,eelgrass,BM00041810,Striglesand vest,C,Lokalt viktig,Asker (3203),Skagerrak,2218.65180049024,10.545450995760106,59.53682876344463,0.0,0.0,1615.7988171982697,32028.617210960183,12956.240223203295,10617.78977444712,312956.97711723566,96585.31096421897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,True,False
seagrass_eelgrass_33_BM00041811,seagrass,eelgrass,BM00041811,Østnestangen vest,C,Lokalt viktig,Asker (3203),Skagerrak,291.60505007569856,10.50745997779907,59.52569156176668,0.0,0.0,1107.2462581364125,31297.781482059756,11335.33707130293,12956.1517279506,310817.8199388336,95379.03016940324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,True,False
seagrass_eelgrass_34_BM00041812,seagrass,eelgrass,BM00041812,Østnestangen øst,C,Lokalt viktig,Asker (3203),Skagerrak,318.2835000767568,10.508723389024599,59.52541884339482,0.0,0.0,1127.9279024692544,31253.972206436236,11314.660198316042,12929.4737559603,310862.5401935985,95353.63343398111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,True,False
seagrass_eelgrass_35_BM00041813,seagrass,eelgrass,BM00041813,Ertsvika øst,C,Lokalt viktig,Asker (3203),Skagerrak,2122.1279001123216,10.490851875978828,59.52121762652872,0.0,0.0,27.208138257224636,31045.098852852498,10745.466746899376,13927.679015615558,309817.08728994004,94888.42775203558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,True,False
seagrass_eelgrass_36_BM00041814,seagrass,eelgrass,BM00041814,Ertsvika,C,Lokalt viktig,Asker (3203),Skagerrak,6048.610800757936,10.484694515606718,59.524141628278656,0.0,0.0,364.41266631231065,31394.935580250374,10993.640815188759,13902.758723091922,309500.20055074134,95158.6541877121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,True,False
seagrass_eelgrass_37_BM00041815,seagrass,eelgrass,BM00041815,Knattvollstranda,C,Lokalt viktig,Asker (3203),Skagerrak,3329.4396003743595,10.47546548658111,59.52265964155976,0.0,0.0,677.6373881019617,31486.06661852043,10913.418781112725,14336.506733198274,308951.8954884158,95092.52400621527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,True,False
seagrass_eelgrass_38_BM00041816,seagrass,eelgrass,BM00041816,Brevikbukta,C,Lokalt viktig,Asker (3203),Skagerrak,2598.2599502454664,10.423677350965578,59.524395532744194,0.0,0.0,3606.967372589059,32673.25627024437,11588.631024368826,16442.253429188557,306012.70876836265,95459.86738150074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,True,False
seagrass_eelgrass_39_BM00041817,seagrass,eelgrass,BM00041817,Holtnesodden sør,C,Lokalt viktig,Asker (3203),Skagerrak,4135.895750294874,10.412849252167142,59.53428442545232,0.0,0.0,3799.179424989945,33789.62410981435,12681.773152612403,16271.416425946425,305491.26566489687,96460.51181613075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,True,False
seagrass_eelgrass_40_BM00041818,seagrass,eelgrass,BM00041818,Trollebogen,B,Viktig,Asker (3203),Skagerrak,4774.755212048857,10.418902868189361,59.54809966753937,0.0,0.0,2272.6833021847347,35176.71835059311,14147.583231927776,15148.647322101378,305864.726248082,98036.03270675734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,True,False
seagrass_eelgrass_41_BM00041819,seagrass,eelgrass,BM00041819,Knivsvik,B,Viktig,Asker (3203),Skagerrak,792.5281330000153,10.435135442509138,59.583866309462785,0.0,0.0,967.8384471265101,38669.592517925536,17947.750367772067,12726.253462879045,306975.72268519446,102047.49538899261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,True,False
seagrass_eelgrass_42_BM00041820,seagrass,eelgrass,BM00041820,Horten sør-øst,A,Svært viktig,Horten (3901),Skagerrak,2755.1669984613472,10.482594732553613,59.423702171354265,0.0,0.0,1632.9480637295617,21086.511801235734,88.28784194728253,23442.81286872344,309207.90684852976,84049.64479657881,1,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,5,True,True
seagrass_eelgrass_43_BM00041821,seagrass,eelgrass,BM00041821,Horten sør-midt,A,Svært viktig,Horten (3901),Skagerrak,187.38460041080955,10.478799945797189,59.42361726463867,0.0,0.0,1544.7986981852416,21204.878482879092,290.1042919955157,23565.01510863753,309048.89664001233,84072.46991005287,1,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,5,True,True
seagrass_eelgrass_44_BM00041822,seagrass,eelgrass,BM00041822,Horten sør-vest,A,Svært viktig,Horten (3901),Skagerrak,9972.010267964444,10.474489420233033,59.42398724169589,0.0,0.0,1315.4883394802148,21249.29091991287,419.98966741947964,23589.84887820956,308730.0921180061,84062.36756855798,1,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,5,True,True
seagrass_eelgrass_45_BM00041823,seagrass,eelgrass,BM00041823,Løvøya-Møllestua,A,Svært viktig,Horten (3901),Skagerrak,325659.84553680103,10.448649034396103,59.44106466334765,224.79077211315288,0.0,0.0,22778.019198079946,1714.8311835840361,22351.009274110434,306670.12252816797,85315.48686209701,0,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0.06902624784539196,0.0,2,True,True
seagrass_eelgrass_46_BM00041824,seagrass,eelgrass,BM00041824,Østøya sør-vest,A,Svært viktig,Horten (3901),Skagerrak,12363.002318517669,10.47029539927741,59.44168792234911,0.0,0.0,190.77598858591747,23145.97697710355,1960.7970119923887,21931.16945973725,308485.47860696266,86032.08163020735,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,True,True
seagrass_eelgrass_47_BM00041825,seagrass,eelgrass,BM00041825,Østøya sør-sørøst,A,Svært viktig,Horten (3901),Skagerrak,111176.67562258201,10.479398153629514,59.44088637537644,3497.502465107189,0.0,0.0,22667.661468385475,1496.1146261999945,21098.496571823074,308752.0509466476,85629.75440707678,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,3.145895886454067,0.0,1,True,False
seagrass_eelgrass_48_BM00041826,seagrass,eelgrass,BM00041826,Kosterenna,A,Svært viktig,Horten (3901),Skagerrak,344537.8189811584,10.488306450001692,59.43634805685588,0.0,0.0,49.575818401182126,21730.74697629188,773.8223359787751,21487.13693360013,309292.5623009901,84893.4042896436,1,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,5,True,True
seagrass_eelgrass_49_BM00041827,seagrass,eelgrass,BM00041827,Måkerumpa,A,Svært viktig,Horten (3901),Skagerrak,16286.136662310306,10.488764030529321,59.44499902317391,0.0,0.0,365.047267112915,23079.353210726476,2215.9159498831705,21029.247473691412,309481.95374499535,86366.57136369398,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,True,True
seagrass_eelgrass_50_BM00041828,seagrass,eelgrass,BM00041828,Vealøs nord,B,Viktig,Horten (3901),Skagerrak,976.2598542488295,10.49469412694881,59.44405505533449,0.0,0.0,247.6596168072578,22895.42402082217,2233.2050813740198,21105.462067880326,309947.0759817985,86301.07384368667,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,True,True
seagrass_eelgrass_51_BM00041829,seagrass,eelgrass,BM00041829,Vealøs sør,B,Viktig,Horten (3901),Skagerrak,15438.878346621525,10.495506257519889,59.44220320103275,591.7726296308618,0.0,0.0,22562.217397586246,1964.6654884524341,21182.80686153643,309963.58970702987,85979.78987326504,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,3.8330027372769533,0.0,1,True,False
seagrass_eelgrass_52_BM00041830,seagrass,eelgrass,BM00041830,Møringen,B,Viktig,Horten (3901),Skagerrak,1456.038912899959,10.496402223330058,59.43219722559689,0.0,0.0,708.7385963624153,21620.99806508894,1078.3287655225936,22269.978337766268,309996.03404544684,84974.26546804646,0,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2,True,True
seagrass_eelgrass_53_BM00041831,seagrass,eelgrass,BM00041831,Steinsnes,A,Svært viktig,Horten (3901),Skagerrak,39537.88076110196,10.48646128594681,59.401588511130875,0.0,0.0,2453.4430093090095,18640.67062613289,924.7963640076917,25299.50940215726,309406.13793962874,81366.19530507257,1,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,5,True,True
seagrass_eelgrass_54_BM00041832,seagrass,eelgrass,BM00041832,Rørestrand,B,Viktig,Horten (3901),Skagerrak,17551.455634189413,10.482314069343369,59.394727492805075,0.0,0.0,2025.2393636648997,18189.11823592808,243.91666755668194,26305.17194843583,309240.17490756884,80698.63273762504,1,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,5,True,True
seagrass_eelgrass_55_BM00043128,seagrass,eelgrass,BM00043128,Frierfjorden,C,Lokalt viktig,Porsgrunn (4001),Skagerrak,6002.322450339341,9.717553337798561,59.10726347472228,0.0,0.0,5694.659254918537,55392.30542784939,13858.38751212437,77669.21049174291,267940.3870115152,68300.65945979724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,True,False
seagrass_eelgrass_56_BM00043129,seagrass,eelgrass,BM00043129,Frierfjorden,C,Lokalt viktig,Porsgrunn (4001),Skagerrak,2449.7643818564834,9.697092870002031,59.09286854627195,0.0,0.0,4141.949656244607,56966.65348784199,13028.08191046439,79686.9918940313,266986.27925108786,68097.7364843254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,True,False
seagrass_eelgrass_57_BM00043130,seagrass,eelgrass,BM00043130,Frierfjorden,C,Lokalt viktig,Porsgrunn (4001),Skagerrak,904.730363058001,9.79754621373422,59.09101146615779,0.0,0.0,3732.201721184792,51579.71831570467,11235.13138614894,76059.28703531995,272721.1970775355,63909.316037093624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,True,False
seagrass_eelgrass_58_BM00043131,seagrass,eelgrass,BM00043131,Frierfjorden,C,Lokalt viktig,Porsgrunn (4001),Skagerrak,4259.315046963226,9.796244524798203,59.09056039740671,0.0,0.0,3579.89244154298,51651.430013659425,11100.547412890744,76110.57678326358,272672.41121687205,63885.587118758194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,True,False
seagrass_eelgrass_59_BM00043132,seagrass,eelgrass,BM00043132,Frierfjorden,C,Lokalt viktig,Porsgrunn (4001),Skagerrak,2106.6093655090026,9.803606820280269,59.10108091352545,0.0,0.0,4885.332542811307,50882.16590732012,12319.883412445923,74978.92344288957,272913.3502045797,64488.30335289823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,True,False
seagrass_eelgrass_60_BM00043133,seagrass,eelgrass,BM00043133,Frierfjorden,C,Lokalt viktig,Porsgrunn (4001),Skagerrak,7267.114689758184,9.805168086939487,59.0963701262677,0.0,0.0,4297.869602541683,50911.8598560346,11688.090827564383,75203.22453921694,273096.00654111494,63970.70009259258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,True,False
seagrass_eelgrass_61_BM00043134,seagrass,eelgrass,BM00043134,Frierfjorden,C,Lokalt viktig,Porsgrunn (4001),Skagerrak,1316.365882859607,9.792661974052926,59.08526845263833,0.0,0.0,3045.3812725847974,52046.66314199375,10610.203594275426,76738.10572655646,272540.0096763829,63621.48283516468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,True,False
seagrass_eelgrass_62_BM00043135,seagrass,eelgrass,BM00043135,Frierfjorden,C,Lokalt viktig,Porsgrunn (4001),Skagerrak,8117.0869632081585,9.647967924689373,59.10464038336106,0.0,0.0,2026.5846510355789,59308.6249716592,15614.434398844229,80641.22706339111,264017.13877303066,71048.86150803916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,True,False
seagrass_eelgrass_63_BM00043136,seagrass,eelgrass,BM00043136,Frierfjorden,B,Viktig,Porsgrunn (4001),Skagerrak,26642.214810590558,9.644370975413317,59.08833014638967,0.0,0.0,1051.8835907925009,59899.10526789122,14096.357768284244,81834.560963053,264055.46991981444,69799.98252608573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,True,False
seagrass_eelgrass_64_BM00043137,seagrass,eelgrass,BM00043137,Frierfjorden,C,Lokalt viktig,Porsgrunn (4001),Skagerrak,5655.199987665239,9.615830394406759,59.12484152771211,0.0,0.0,1453.7646229493469,60524.125622138294,18493.678192654133,80425.99355192385,261882.79575591924,73883.98745166666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,True,False
seagrass_eelgrass_65_BM00043138,seagrass,eelgrass,BM00043138,Frierfjorden,A,Svært viktig,Porsgrunn (4001),Skagerrak,44767.326220491974,9.647561235544352,59.12056498666651,0.0,0.0,3268.5949599805067,58818.31491167,16950.90166352626,79338.20233141757,263727.5132725463,72147.33837301304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,True,False
seagrass_eelgrass_66_BM00043139,seagrass,eelgrass,BM00043139,Frierfjorden,C,Lokalt viktig,Porsgrunn (4001),Skagerrak,6443.795850604633,9.646590218784977,59.11665542958765,0.0,0.0,3040.8992493060514,59005.64900329605,16805.55662683193,79711.07715924356,263717.9729069851,72036.05643147873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,True,False
