DETAILS,,,,,,,,,,EXTENT ,,,CARBON STOCK,,,,CARBON FLUX,,,,ENVIRONMENTAL DRIVERS,,,,,,,,,,,HUMAN/ CLIMATE CHANGE- DRIVEN PRESSURES,,,,,,,,,,DEGRADATION/ LOSS,,,,,CO-BENEFITS/ ECOSYSTEM SERVICES ,,,,,,,,,,UNCERTAINTY/RISK,
ID,Source:,Site Name,Region,Year,Water_depth_m,Habitat ,Sediment_type,Sample_size_n,Dry_bulk_density_g_cm3,Area_m2,Percent_cover,Depth_mean_m,Sediment_C_stock_g_m2,Carbon_stock_SD,Sediment_depth_cm,Biomass_C_g_m2,Data source: ,Sequestration_rate_g/m2/yr,Carbon_burial_rate_g/m2/yr,NPP_g_m2_year,Temperature_mean_C,Temp_min_C,Temp_max_C,Salinity_psu,Wave_exposure_index,Current_velocity_m/s,Sediment_grain_size_um,Distance_to_river_km,Nutrient_N_mg_L,Nutrient_P_mg_L,Shoot_density_per_m2,Data source: ,Eutrophication_index,Coastal_development_index,Pollution_index,Bottom_trawling_intensity,Anchoring_intensity ,Marine_heatwave_frequency,Temperature_anomaly_C,Storm_frequency,Fragmentation_index,Annual_area_loss_percent,Biomass_decline_rate_percent_yr,Carbon_loss_rate_g_m2_yr,Disturbance_frequency,Recovery_rate_percent_yr,Aboveground_biomass_g_m2,Belowground_biomass_g_m2,AB/BG_ratio ,Species_richness,Faunal_abundance_per_m2,Fish_biomass_g_m2,Nursery_species_count,Sediment_stabilization_percent,Wave_attenuation_percent,Water_clarity_change_NTU,Risk acknowledgement ,Confidence note
11,Gagnon et al. 2034,Hove,South West (Skagerrak),2017,3,Eelgrass,Fine mud,5,0.13,,,,6029.52,,50,,,,,,8.9,-1.7,21.5,28.9,1634,,,,,,,,,,,,,,,,,,,,,,483.2,166.2,2.91,,,,,,,,,
12,Gagnon et al. 2035,Hove,South West (Skagerrak),2017,3,Unvegetated,Mud,2,0.11,,,,5952.74,,50,,,,,,8.9,-1.7,21.5,28.9,1634,,,,,,,,,,,,,,,,,,,,,,NaN,NaN,NaN,,,,,,,,,
13,Gagnon et al. 2036,Sandspollen,South East (Oslofjord),2018,3.7,Unvegetated,Muddy sand,1,0.51,,,,3922,,50,,,,,,8.3,-1.5,22.3,25.6,1642,,,,,,,,,,,,,,,,,,,,,,NaN,NaN,NaN,,,,,,,,,
14,Gagnon et al. 2037,Sandspollen,South East (Oslofjord),2018,6,Unvegetated,Muddy sand,1,0.84,,,,3187.99,,50,,,,,,8.3,-1.5,22.3,25.6,1642,,,,,,,,,,,,,,,,,,,,,,NaN,NaN,NaN,,,,,,,,,
15,Gagnon et al. 2038,Kapellkilen,South East (Oslofjord),2017,1.5,Eelgrass,Muddy sand,1,0.22,,,,6900.99,,50,,,,,,8.3,-1.5,22.3,25.6,1481,,,,,,,,,,,,,,,,,,,,,,124.2,458.6,0.27,,,,,,,,,
16,Gagnon et al. 2039,Kapellkilen,South East (Oslofjord),2017,2.5,Eelgrass,Muddy sand,2,0.16,,,,7225.18,,50,,,,,,8.3,-1.5,22.3,25.6,1481,,,,,,,,,,,,,,,,,,,,,,298.7,312.1,0.96,,,,,,,,,
17,Gagnon et al. 2040,Kapellkilen,South East (Oslofjord),2018,3,Eelgrass,Muddy sand,1,0.15,,,,5607.23,,50,,,,,,8.3,-1.5,22.3,25.6,1481,,,,,,,,,,,,,,,,,,,,,,NaN,NaN,NaN,,,,,,,,,
18,Gagnon et al. 2041,Kapellkilen,South East (Oslofjord),2018,6,Unvegetated,Muddy sand,1,1.43,,,,3187.99,,50,,,,,,8.3,-1.5,22.3,25.6,1481,,,,,,,,,,,,,,,,,,,,,,NaN,NaN,NaN,,,,,,,,,
19,Gagnon et al. 2042,Røvik,West (Norwegian Sea),2015,1,Eelgrass,Sand,3,1.52,,,,4000*,,50,,,,,,6.4,-1.4,17.8,28.5,10012,,,,,,,,,,,,,,,,,,,,,,105,174,0.6,,,,,,,,,
20,Gagnon et al. 2043,Porsanger,North (Barents Sea),2022,0.2,Eelgrass,Coarse sand/gravel,3,1.82,,,,112.48,,50,,,,,,3.6,-1.9,16.5,33.4,22945,,,,,,,,,,,,,,,,,,,,,,18.1,19,0.14,,,,,,,,,
,,,,,,,,,,,,,*Røvik value derived from Röhr et al 2018; 25 cm deep sample scaled to 50 cm following Gagnon methodology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
